Date,Open,High,Low,Close,Adj Close,Volume
2023-08-07,24.709999,24.709999,24.709999,24.709999,23.033108,0
2023-08-08,24.330000,24.330000,24.330000,24.330000,22.678896,0
2023-08-09,23.780001,23.780001,23.780001,23.780001,22.166222,0
2023-08-10,23.629999,23.629999,23.629999,23.629999,22.026400,0
2023-08-11,22.959999,22.959999,22.959999,22.959999,21.401867,0
2023-08-14,23.780001,23.780001,23.780001,23.780001,22.166222,0
2023-08-15,23.469999,23.469999,23.469999,23.469999,21.877258,0
2023-08-16,23.090000,23.090000,23.090000,23.090000,21.523046,0
2023-08-17,22.900000,22.900000,22.900000,22.900000,21.345940,0
2023-08-18,22.940001,22.940001,22.940001,22.940001,21.383226,0
2023-08-21,23.850000,23.850000,23.850000,23.850000,22.231470,0
2023-08-22,23.580000,23.580000,23.580000,23.580000,21.979794,0
2023-08-23,24.110001,24.110001,24.110001,24.110001,22.473827,0
2023-08-24,23.430000,23.430000,23.430000,23.430000,21.839973,0
2023-08-25,23.299999,23.299999,23.299999,23.299999,21.718794,0
2023-08-28,23.620001,23.620001,23.620001,23.620001,22.017080,0
2023-08-29,24.360001,24.360001,24.360001,24.360001,22.706861,0
2023-08-30,24.510000,24.510000,24.510000,24.510000,22.846682,0
2023-08-31,24.629999,24.629999,24.629999,24.629999,22.958536,0
2023-09-01,24.580000,24.580000,24.580000,24.580000,22.911930,0
2023-09-05,24.540001,24.540001,24.540001,24.540001,22.874645,0
2023-09-06,24.230000,24.230000,24.230000,24.230000,22.585682,0
2023-09-07,23.750000,23.750000,23.750000,23.750000,22.138256,0
2023-09-08,23.590000,23.590000,23.590000,23.590000,21.989115,0
2023-09-11,23.540001,23.540001,23.540001,23.540001,21.942509,0
2023-09-12,23.379999,23.379999,23.379999,23.379999,21.793365,0
2023-09-13,23.490000,23.490000,23.490000,23.490000,21.895901,0
2023-09-14,23.660000,23.660000,23.660000,23.660000,22.054365,0
2023-09-15,22.900000,22.900000,22.900000,22.900000,21.345940,0
2023-09-18,22.990000,22.990000,22.990000,22.990000,21.429832,0
2023-09-19,22.870001,22.870001,22.870001,22.870001,21.317978,0
2023-09-20,22.469999,22.469999,22.469999,22.469999,20.945120,0
2023-09-21,22.030001,22.030001,22.030001,22.030001,20.534981,0
2023-09-22,22.270000,22.270000,22.270000,22.270000,20.758694,0
2023-09-25,22.450001,22.450001,22.450001,22.450001,20.926479,0
2023-09-26,22.059999,22.059999,22.059999,22.059999,20.562944,0
2023-09-27,22.330000,22.330000,22.330000,22.330000,20.814623,0
2023-09-28,22.709999,22.709999,22.709999,22.709999,21.168833,0
2023-09-29,22.799999,22.799999,22.799999,22.799999,21.252726,0
2023-10-02,22.959999,22.959999,22.959999,22.959999,21.401867,0
2023-10-03,22.340000,22.340000,22.340000,22.340000,20.823944,0
2023-10-04,22.650000,22.650000,22.650000,22.650000,21.112906,0
2023-10-05,22.580000,22.580000,22.580000,22.580000,21.047657,0
2023-10-06,23.120001,23.120001,23.120001,23.120001,21.551012,0
2023-10-09,23.000000,23.000000,23.000000,23.000000,21.439154,0
2023-10-10,23.360001,23.360001,23.360001,23.360001,21.774723,0
2023-10-11,23.610001,23.610001,23.610001,23.610001,22.007759,0
2023-10-12,23.580000,23.580000,23.580000,23.580000,21.979794,0
2023-10-13,22.850000,22.850000,22.850000,22.850000,21.299334,0
2023-10-16,23.219999,23.219999,23.219999,23.219999,21.644224,0
2023-10-17,22.870001,22.870001,22.870001,22.870001,21.317978,0
2023-10-18,22.309999,22.309999,22.309999,22.309999,20.795979,0
2023-10-19,22.000000,22.000000,22.000000,22.000000,20.507017,0
2023-10-20,21.580000,21.580000,21.580000,21.580000,20.115519,0
2023-10-23,21.639999,21.639999,21.639999,21.639999,20.171448,0
2023-10-24,21.930000,21.930000,21.930000,21.930000,20.441767,0
2023-10-25,21.020000,21.020000,21.020000,21.020000,19.593523,0
2023-10-26,20.879999,20.879999,20.879999,20.879999,19.463022,0
2023-10-27,20.910000,20.910000,20.910000,20.910000,19.490988,0
2023-10-30,20.389999,20.389999,20.389999,20.389999,19.006275,0
2023-10-31,20.360001,20.360001,20.360001,20.360001,18.978313,0
2023-11-01,20.780001,20.780001,20.780001,20.780001,19.369810,0
2023-11-02,21.340000,21.340000,21.340000,21.340000,19.891806,0
2023-11-03,21.969999,21.969999,21.969999,21.969999,20.479052,0
2023-11-06,21.980000,21.980000,21.980000,21.980000,20.488373,0
2023-11-07,22.129999,22.129999,22.129999,22.129999,20.628195,0
2023-11-08,22.160000,22.160000,22.160000,22.160000,20.656158,0
2023-11-09,22.059999,22.059999,22.059999,22.059999,20.562944,0
2023-11-10,22.930000,22.930000,22.930000,22.930000,21.373905,0
2023-11-13,22.809999,22.809999,22.809999,22.809999,21.262047,0
